channel_id,channel_name,start_date,videos,views,subscribers
UC7ABMCCA3gzt6VgnnQg9Kig,River Falls SPORTS,2014-06-26T20:12:46Z,1052.0,1137652.0,5160.0
UChr7ZXDFiPOEl543HM4Aj8g,MAGENTA SPORT,2017-11-14T15:10:27Z,10114.0,182902894.0,243000.0
UCJW9EhwdL5WU-2slOTvaBNg,Seahawks Today by Chat Sports,2020-05-29T12:19:28.880811Z,1515.0,14253949.0,50500.0
UCQt2RdjoCYq3hvDmWX94VNQ,J SPORTS,2011-03-09T05:36:27Z,1654.0,26526162.0,284000.0
UC4BgbEpgz53eYYOoQ4cJFsw,Bomber Sports,2013-08-16T19:21:40Z,1080.0,878039.0,4740.0
UCLo2AKP2axbd8Ij8dJCY2WQ,JD Sports,2010-04-13T14:17:47Z,470.0,150330551.0,294000.0
UCmhmKcSIi9DmpGV4qSt0Rlw,Digital 2 Sports,2021-06-03T17:39:04.737384Z,2200.0,270791931.0,911000.0
UCmzr4VZ0HQ7Pi_SK4bPtRUw,Play Sports,2011-07-01T16:33:12Z,949.0,16130582.0,74300.0
UCNyKhK1GI6CUbJ-BDtJ44DA,Sports United,2017-05-25T20:16:10Z,4919.0,362602208.0,1360000.0
UCaoTOpfjVfdm_XlYvwbVicQ,FOX SPORTS AUSTRALIA,2012-08-14T07:18:08Z,3587.0,89251920.0,156000.0
UCxlgPWNLi8UInV0HHhfSQCg,Kentucky Sports Radio,2018-09-06T03:44:42Z,3926.0,13180389.0,28700.0
UC1HgRSC0w_DnIZW6rN19low,Five Reasons Sports Network,2018-03-28T01:17:15Z,8490.0,12208277.0,25900.0
UCU9qXmIDsn7qY4dlksXlPxw,Ball State Sports Link,2009-08-27T21:45:54Z,1957.0,1495028.0,1610.0
UC0YatYmg5JRYzXJPxIdRd8g,beIN SPORTS USA,2012-07-16T20:11:38Z,10038.0,291943570.0,801000.0
UCs-gmT5tSkb5-c_BXmCJ2Pw,A to Z Sports Dallas,2020-01-09T20:48:08.499159Z,1804.0,5919503.0,25200.0
UCPckg9pijh0KjJm4X0Xhviw,News24 Sports,2019-04-01T10:10:50Z,24752.0,2039718299.0,3290000.0
UC7wPqUbu5QtLKNqKnk9Ja2w,Locked On Sports Atlanta,2022-03-16T13:25:38.134411Z,2775.0,2527452.0,10800.0
UCQ8cM7o5Gu9l9G3fDP5Xpsg,Matchroom Multi Sport,2014-09-30T11:01:57Z,879.0,79182794.0,193000.0
UCFwF2ggZy7J-HE0Bc-LCKhQ,Montana Sports,2016-02-12T22:23:49Z,15692.0,5473049.0,5890.0
UCI6xsaYFLb2d9T9z4m6fCDw,Dibrou Sports Brasil,2020-01-14T03:09:09.863388Z,7040.0,163658227.0,579000.0
